graph_name,alg_name,time,number_of_colors
fence,ConnectedSequential,54168,2
fence,ConnectedSequential,54002,2
fence,ConnectedSequential,54210,2
fence,ConnectedSequential,55333,2
fence,ConnectedSequential,53661,2
fence,ConnectedSequential,53724,2
fence,ConnectedSequential,54097,2
fence,ConnectedSequential,54239,2
fence,ConnectedSequential,53932,2
fence,ConnectedSequential,54705,2
fence,ConnectedSequential,54044,2
fence,ConnectedSequential,54469,2
fence,ConnectedSequential,53575,2
fence,ConnectedSequential,53669,2
fence,ConnectedSequential,54071,2
fence,ConnectedSequential,54218,2
fence,ConnectedSequential,54574,2
fence,ConnectedSequential,54548,2
fence,ConnectedSequential,54649,2
fence,ConnectedSequential,54076,2
fence,ConnectedSequential,53753,2
fence,ConnectedSequential,54489,2
fence,ConnectedSequential,57801,2
fence,ConnectedSequential,56992,2
fence,ConnectedSequential,56217,2
fence,ConnectedSequential,55511,2
fence,ConnectedSequential,54718,2
fence,ConnectedSequential,52933,2
fence,ConnectedSequential,53717,2
fence,ConnectedSequential,52611,2
fence,ConnectedSequential,53421,2
fence,ConnectedSequential,52641,2
fence,ConnectedSequential,53298,2
fence,ConnectedSequential,53076,2
fence,ConnectedSequential,53225,2
fence,ConnectedSequential,52333,2
fence,ConnectedSequential,53083,2
fence,ConnectedSequential,52553,2
fence,ConnectedSequential,53168,2
fence,ConnectedSequential,53386,2
fence,ConnectedSequential,52931,2
fence,ConnectedSequential,53391,2
fence,ConnectedSequential,52870,2
fence,ConnectedSequential,52964,2
fence,ConnectedSequential,52521,2
fence,ConnectedSequential,52650,2
fence,ConnectedSequential,53383,2
fence,ConnectedSequential,53055,2
fence,ConnectedSequential,52284,2
fence,ConnectedSequential,52395,2
fence,ConnectedSequential,52947,2
fence,ConnectedSequential,52804,2
fence,ConnectedSequential,53245,2
fence,ConnectedSequential,52286,2
fence,ConnectedSequential,52927,2
fence,ConnectedSequential,56454,2
fence,ConnectedSequential,55459,2
fence,ConnectedSequential,55212,2
fence,ConnectedSequential,54573,2
fence,ConnectedSequential,54547,2
fence,ConnectedSequential,54495,2
fence,ConnectedSequential,54198,2
fence,ConnectedSequential,53801,2
fence,ConnectedSequential,53953,2
fence,ConnectedSequential,54373,2
fence,ConnectedSequential,54440,2
fence,ConnectedSequential,53950,2
fence,ConnectedSequential,54216,2
fence,ConnectedSequential,54154,2
fence,ConnectedSequential,56304,2
fence,ConnectedSequential,54689,2
fence,ConnectedSequential,54336,2
fence,ConnectedSequential,54302,2
fence,ConnectedSequential,56885,2
fence,ConnectedSequential,54366,2
fence,ConnectedSequential,54125,2
fence,ConnectedSequential,54644,2
fence,ConnectedSequential,54477,2
fence,ConnectedSequential,53870,2
fence,ConnectedSequential,53897,2
fence,ConnectedSequential,53827,2
fence,ConnectedSequential,54938,2
fence,ConnectedSequential,54525,2
fence,ConnectedSequential,53928,2
fence,ConnectedSequential,53874,2
fence,ConnectedSequential,54289,2
fence,ConnectedSequential,54003,2
